期数,星期,红球,篮球,和值,AC,分列差,并列差,公式差,取模直,非AC尾,012路
2025128,4,"[2, 10, 18, 19, 24, 27]",1,100,6,"[5, 4, 1]","[8, 1, 3]","[9, 9, 4, 4, 3, 2]","[4, 0, 0]","[0, 1, 2, 3, 4, 5, 8, 9]","[2, 1, 0, 1, 0, 0]"
2025129,7,"[3, 4, 7, 13, 20, 30]",3,77,8,"[7, 6, 6]","[1, 6, 0]","[4, 8, 0, 4, 2, 1]","[5, 2, 1]","[0, 1, 2, 4, 5, 6, 7, 8]","[0, 1, 1, 1, 2, 0]"
2025130,2,"[1, 5, 8, 14, 19, 23]",6,70,7,"[2, 4, 6]","[4, 6, 4]","[9, 3, 7, 4, 2, 2]","[4, 0, 2]","[0, 2, 3, 4, 6, 7, 9]","[1, 2, 2, 2, 1, 2]"
2025131,4,"[3, 13, 14, 18, 24, 31]",3,103,8,"[8, 1, 4]","[0, 4, 7]","[3, 6, 6, 4, 3, 2]","[1, 3, 3]","[0, 1, 2, 3, 4, 6, 7, 8]","[0, 1, 2, 0, 0, 1]"
2025132,7,"[4, 8, 10, 21, 23, 32]",11,98,7,"[8, 5, 1]","[4, 1, 9]","[3, 1, 8, 3, 3, 2]","[2, 3, 2]","[1, 2, 3, 4, 5, 8, 9]","[1, 2, 1, 0, 2, 2]"
2025133,2,"[5, 14, 17, 19, 20, 33]",7,108,8,"[8, 6, 2]","[9, 2, 3]","[0, 6, 5, 4, 4, 2]","[0, 3, 0]","[0, 2, 3, 4, 5, 6, 8, 9]","[2, 2, 2, 1, 2, 0]"
2025134,4,"[3, 5, 9, 13, 26, 29]",12,85,9,"[6, 1, 4]","[2, 4, 3]","[7, 6, 8, 5, 2, 1]","[1, 0, 1]","[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0, 2, 0, 1, 2, 2]"
2025135,7,"[1, 2, 5, 9, 25, 32]",10,74,7,"[1, 3, 4]","[1, 4, 7]","[3, 6, 3, 7, 1, 1]","[2, 4, 2]","[1, 2, 3, 4, 6, 7]","[1, 2, 2, 0, 1, 2]"
2025136,2,"[8, 10, 14, 23, 28, 32]",12,115,7,"[4, 8, 9]","[2, 9, 4]","[3, 0, 7, 4, 3, 2]","[1, 0, 3]","[0, 1, 2, 3, 4, 7, 8, 9]","[2, 1, 2, 2, 1, 2]"
2025137,4,"[2, 8, 11, 23, 27, 29]",5,100,8,"[7, 9, 2]","[6, 2, 2]","[9, 1, 8, 3, 2, 2]","[4, 0, 0]","[0, 1, 2, 3, 4, 6, 7, 8, 9]","[2, 2, 2, 2, 0, 2]"
2025138,7,"[10, 13, 14, 23, 24, 27]",15,111,4,"[7, 1, 9]","[3, 9, 3]","[0, 7, 6, 3, 3, 3]","[3, 1, 3]","[0, 1, 3, 6, 7, 9]","[1, 1, 2, 2, 0, 0]"
2025139,2,"[2, 5, 17, 22, 30, 33]",6,109,8,"[1, 5, 5]","[3, 5, 3]","[3, 0, 5, 3, 2, 2]","[1, 4, 1]","[0, 1, 2, 3, 4, 5]","[2, 2, 2, 1, 0, 0]"
2025140,4,"[1, 3, 4, 12, 18, 24]",5,62,9,"[3, 5, 8]","[2, 8, 6]","[1, 9, 4, 4, 2, 1]","[2, 2, 2]","[1, 2, 3, 4, 5, 6, 8, 9]","[1, 0, 1, 0, 0, 0]"
2025141,7,"[2, 4, 5, 10, 12, 13]",6,46,5,"[1, 8, 5]","[2, 5, 1]","[2, 0, 8, 3, 2, 2]","[4, 1, 2]","[0, 1, 2, 3, 4, 5, 8]","[2, 1, 2, 1, 0, 1]"
2025142,2,"[2, 13, 15, 23, 27, 31]",16,111,8,"[9, 4, 8]","[1, 8, 4]","[4, 7, 6, 3, 3, 2]","[3, 1, 3]","[1, 2, 3, 4, 6, 7, 8, 9]","[2, 1, 0, 2, 0, 1]"
2025143,4,"[2, 9, 12, 13, 15, 24]",3,75,8,"[2, 6, 1]","[7, 1, 9]","[6, 7, 5, 4, 4, 2]","[3, 0, 3]","[0, 1, 2, 3, 4, 5, 6, 7, 9]","[2, 0, 0, 1, 0, 0]"
2025144,7,"[1, 8, 15, 20, 26, 33]",13,103,6,"[2, 8, 5]","[7, 5, 7]","[2, 1, 5, 4, 2, 2]","[1, 3, 3]","[1, 2, 3, 4, 5, 7, 8]","[1, 2, 0, 2, 2, 0]"
2025145,2,"[11, 12, 15, 18, 25, 32]",14,113,6,"[1, 3, 3]","[1, 3, 7]","[9, 8, 6, 5, 3, 2]","[5, 3, 1]","[1, 2, 3, 5, 6, 7, 8, 9]","[2, 0, 0, 0, 1, 2]"
2025146,4,"[5, 7, 12, 24, 26, 28]",2,102,6,"[3, 9, 2]","[2, 2, 2]","[9, 3, 7, 3, 2, 2]","[0, 2, 2]","[0, 2, 3, 7, 9]","[2, 1, 0, 0, 2, 1]"
2025147,7,"[1, 3, 5, 8, 22, 33]",8,72,9,"[2, 9, 3]","[2, 3, 1]","[1, 3, 3, 8, 2, 1]","[0, 2, 0]","[0, 1, 2, 3, 8, 9]","[1, 0, 2, 2, 1, 0]"
2025148,2,"[3, 4, 9, 10, 15, 22]",16,63,4,"[9, 1, 1]","[1, 1, 7]","[0, 4, 6, 5, 3, 1]","[3, 3, 3]","[0, 1, 3, 4, 5, 6, 7, 9]","[0, 1, 0, 1, 0, 1]"
2025149,4,"[1, 2, 4, 6, 22, 30]",10,65,9,"[9, 0, 2]","[1, 2, 8]","[4, 1, 5, 9, 1, 1]","[5, 0, 1]","[0, 1, 2, 4, 5, 8, 9]","[1, 2, 1, 0, 1, 0]"
2025150,7,"[6, 13, 17, 19, 24, 31]",8,110,6,"[5, 1, 2]","[7, 2, 7]","[7, 7, 5, 4, 3, 2]","[2, 0, 2]","[0, 1, 2, 3, 4, 5, 7]","[0, 1, 2, 1, 0, 1]"
